Country Name,ISO 3166-1 3-Letter Code,Region
Argentina,ARG,South America
Australia,AUS,Oceania
Austria,AUT,Europe
Belgium,BEL,Europe
Brazil,BRA,South America
Canada,CAN,North America
Chile,CHL,South America
China,CHN,Asia
Colombia,COL,South America
Croatia,HRV,Europe
Cuba,CUB,North America
Czech Republic,CZE,Europe
Denmark,DNK,Europe
Egypt,EGY,Africa
Finland,FIN,Europe
France,FRA,Europe
Germany,DEU,Europe
Greece,GRC,Europe
Hong Kong,HKG,Asia
Hungary,HUN,Europe
India,IND,Asia
Indonesia,IDN,Asia
Ireland,IRL,Europe
Israel,ISR,Middle East
Italy,ITA,Europe
Japan,JPN,Asia
Kenya,KEN,Africa
Macao,MAC,Asia
Malaysia,MYS,Asia
Mexico,MEX,North America
Morocco,MAR,Africa
Nepal,NPL,Asia
Netherlands,NLD,Europe
New Zealand,NZL,Oceania
Norway,NOR,Europe
Peru,PER,South America
Philippines,PHL,Asia
Poland,POL,Europe
Portugal,PRT,Europe
Russia,RUS,Europe
Saudi Arabia,SAU,Middle East
Singapore,SGP,Asia
South Africa,ZAF,Africa
South Korea,KOR,Asia
Spain,ESP,Europe
Sweden,SWE,Europe
Switzerland,CHE,Europe
Taiwan,TWN,Asia
Thailand,THA,Asia
Turkey,TUR,Middle East
Ukraine,UKR,Europe
United Arab Emirates,ARE,Middle East
United Kingdom,GBR,Europe
United States,USA,North America
Vietnam,VNM,Asia
